"R0000100","R0357900","R0536300","R0536401","R0536402","R1200300","R1205300","R1235800","R1482600","R2189100","R2200500","R2558800","R2563600","R3508200","R3511100","R3520100","R3880300","R3885200","R4909200","R4918000","R5459400","R5464400","R6536400","R6545000","R7222400","R7228100","S0924000","S0932900","S1535500","S1542000","S2005400","S2011800","S2990300","S2995900","S3805700","S4682600","S4685500","S4691000","S5405600","S6318100","S6321000","S6326800","S7506100","S8334600","S8339100","T0009400","T0741400","T0745900","T2012100","T2784900","T2789700","T3602100","T4496600","T4501300","T5202300","T6145500","T6150200","T6652100","T7640000","T7644700","T8123700","T9044600","Z9050500","Z9050600","Z9050700"
2240,0,2,1,1981,1,1,1,4,-4,-4,1,1,-5,-5,-5,-5,-5,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,0
2241,0,1,4,1983,1,1,1,4,-4,-4,1,1,-5,-5,-5,-5,-5,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,1
2242,1,1,2,1980,1,1,1,2,-4,1,1,1,-5,-5,-5,-5,-5,0,-4,1,1,0,-4,1,1,-1,-4,1,1,-5,-5,-5,-5,1,-4,0,-4,1,-4,0,-4,-5,-5,-5,1,0,-4,1,-1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8,6,6
2243,1,2,1,1983,1,1,1,2,-4,-4,1,1,-4,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-4,-5,-5,-5,1,0,-4,1,0,-4,-5,-5,1,2,2
2244,1,2,9,1982,1,8,1,4,-5,-5,-5,-5,-4,-4,-4,1,8,0,-4,1,8,0,-4,1,8,0,-4,1,8,1,10,0,1,1,-4,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-3,6,7
2245,0,2,3,1984,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,8,3,3
2246,0,1,8,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,-5,-5,-5,-5,0,-4,1,1,1,1,0,-4,1,-4,0,-4,-5,-5,-5,-5,1,0,-4,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,1,-4,2,3,4
2247,1,2,3,1982,1,1,1,2,-4,-4,1,1,-4,0,-4,1,1,1,-4,1,1,1,-4,1,1,0,-4,4,10,-3,10,0,-4,-4,-4,0,-4,1,-4,1,-4,2,0,-4,2,0,-4,2,0,-4,2,0,-4,2,1,-4,2,0,-4,3,-4,5,11,11
2248,0,2,12,1984,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,6,6
2249,1,2,3,1980,1,1,1,4,-5,-5,-5,-5,-4,-4,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,1,1
2250,1,1,10,1981,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,1,-4,1,4,0,1,1,10,0,-4,1,10,1,10,0,-4,1,-4,1,1,1,-4,0,-4,1,0,-4,1,0,-4,1,1,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,6,6
2251,1,1,3,1984,1,4,1,4,-4,-4,1,4,-4,1,2,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,3,1,-4,1,0,-4,1,0,-4,1,1,-4,1,1,-4,1,0,-4,1,-4,3,9,-3
2252,0,1,2,1981,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,4,10,0,-4,4,-4,0,-4,4,-4,0,-4,4,0,-4,4,0,-4,4,0,-4,4,0,-4,1,0,-4,1,0,-4,1,-4,4,10,13
2253,0,1,6,1982,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,4,-4,0,-4,4,0,-4,4,0,-4,4,0,-4,4,0,-4,4,0,-4,4,0,-4,4,-4,8,8,9
2254,0,1,1,1981,1,1,1,4,-4,2,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,8,10,10
2255,1,1,1,1981,1,3,1,4,-4,-4,1,3,-4,0,-4,1,3,-5,-5,-5,-5,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,9,10
2256,1,1,8,1983,1,3,1,4,-4,-4,1,3,-4,0,-4,1,3,0,-4,1,3,0,-4,1,10,0,-4,1,2,1,2,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,1,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,5,13,13
2257,1,1,6,1980,1,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,10,1,-4,1,-4,0,-4,1,-4,0,-4,1,1,-4,1,0,-4,1,0,-4,1,1,-4,1,0,-4,1,1,-4,1,-4,4,6,6
2258,0,2,9,1984,1,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,1,3,3
2260,0,2,12,1984,1,4,1,4,-4,-4,1,3,-4,0,-4,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,0,5,6
2261,1,1,3,1980,1,3,1,4,-4,-4,1,2,-4,0,-4,1,4,1,2,1,4,1,-4,1,4,0,-4,1,4,1,10,0,-4,1,-4,1,-4,1,-4,0,-4,1,1,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,8,14,17
2262,1,1,8,1983,1,3,1,4,-4,-4,1,3,-4,1,-4,1,3,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,-5,-5,-5,3,0,-4,3,-4,9,-3,-3
2263,0,2,3,1982,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,5,0,-4,1,2,0,-4,1,2,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,8,-3,-3
2264,0,1,11,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,1,1,0,-4,1,0,1,1,0,-4,1,0,-4,1,0,1,1,-4,1,5,5
2265,0,2,1,1982,1,4,1,4,-4,-4,1,2,-4,0,-4,1,2,0,-4,1,2,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,3,3
2266,0,1,3,1984,1,4,1,4,-4,-4,1,2,-4,0,-4,1,2,0,-4,1,2,0,-4,1,2,0,-4,1,2,1,2,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,2,2
2267,0,1,11,1982,1,2,1,4,-4,-4,1,2,-4,0,1,1,2,-5,-5,-5,-5,0,-4,1,2,-5,-5,-5,-5,1,10,0,2,-5,-5,-5,-5,-5,-5,-5,-5,1,0,2,1,0,-4,1,1,1,1,0,1,1,0,-4,1,0,-4,1,-4,2,8,8
2268,0,2,9,1981,1,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0
2269,0,1,10,1982,1,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
2270,1,2,12,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,-5,-5,-5,1,0,-4,1,0,-4,-5,-5,-5,1,0,-4,1,-4,6,5,6
2271,1,2,9,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,2,-1,-4,2,-1,-4,2,-1,-4,2,-1,-4,2,-1,-4,2,-4,3,3,4
2272,0,1,9,1983,1,4,1,4,-4,-4,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,2,-5,-5,-5,-5,-5,-5,1,0,1,1,-4,2,3,4
2273,1,1,12,1981,1,2,1,4,-4,-4,1,2,-4,0,-4,1,2,1,-4,1,2,0,-4,1,2,0,-4,1,2,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,1,-4,1,1,-4,1,1,-4,1,1,-4,1,1,-4,1,1,-4,1,-4,3,3,3
2274,0,1,10,1984,1,4,1,2,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,1,4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,7,9,9
2275,1,1,9,1980,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,6,6
2276,0,1,6,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8,5,5
2277,1,2,12,1980,1,3,1,2,-4,-4,1,3,-4,1,-4,1,3,0,-4,1,10,0,-4,1,10,0,-4,1,3,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,3,0,-4,3,0,-4,1,0,-4,-4,0,-4,-4,0,-4,-4,0,-4,1,-4,4,5,5
2278,1,1,7,1982,1,2,1,2,-4,-4,1,2,-4,0,-4,1,10,1,1,1,10,0,-4,1,2,0,-4,1,2,1,10,0,-4,3,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,10,4,4
2279,0,1,2,1983,1,8,1,4,-4,-4,1,8,-4,0,-4,1,8,0,-4,1,4,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,1,0,-4,-5,-5,5,3,3
2280,1,2,8,1984,1,1,1,2,-4,-4,1,1,-4,0,-4,1,1,1,-4,1,1,1,-4,1,1,1,-4,1,1,1,10,1,-4,-5,-5,-5,-5,1,-4,1,-4,1,1,-4,1,1,-4,1,1,1,1,1,-4,1,1,-4,1,1,-4,1,-4,13,8,8
2281,1,1,2,1981,1,4,1,1,-4,-1,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,-5,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,3,0,0
2282,0,1,12,1984,1,2,1,1,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,1,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,1,0,-4,1,0,-4,-5,-5,1,1,1
2283,1,2,3,1982,1,4,1,1,-4,-4,1,9,-4,0,-4,1,9,0,-4,1,10,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,5,5
2284,0,2,12,1980,1,10,1,1,-4,-4,1,10,-4,0,-4,1,-3,0,-4,1,10,-5,-5,-5,-5,0,-4,1,10,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,2,2
2285,0,1,9,1984,1,1,1,2,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,1,2,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,3,3
2286,1,2,6,1981,1,1,1,4,-4,1,1,1,-4,1,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,15,15
2287,1,2,1,1981,1,2,1,4,-5,-5,-5,-5,-4,-4,-4,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,-4,1,0,-4,1,0,-4,1,-4,3,6,6
2288,1,1,7,1982,1,2,1,4,-4,-4,1,2,-5,-5,-5,-5,-5,0,-4,1,2,-5,-5,-5,-5,-5,-5,-5,-5,1,2,0,1,1,-4,0,-4,4,-4,1,-4,1,0,-4,1,1,1,1,-1,-4,1,0,-4,1,-1,-4,1,-1,-4,1,-4,4,13,14
2289,1,1,7,1982,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,4,-4,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,4,4
2290,0,1,10,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,3,0,-4,1,-4,5,8,8
2291,1,1,3,1981,1,1,1,4,-4,1,1,4,-4,0,-4,1,4,1,-4,1,10,1,-4,1,4,1,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,1,-4,1,0,-4,1,0,-4,1,0,1,1,0,-4,1,0,-4,1,-4,9,10,11
2292,1,1,12,1980,1,4,1,4,-4,-4,1,2,-4,0,-4,1,4,0,-4,1,2,0,-4,1,2,0,-4,1,4,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,3,-4,2,4,4
2293,1,2,4,1980,1,4,1,4,-4,-4,1,2,-4,0,-4,1,2,0,-4,1,10,0,-4,1,10,0,-4,1,2,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,9,9
2294,0,1,1,1981,1,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,9,9
2295,1,1,8,1981,1,4,1,4,-4,-4,1,4,-4,1,-4,1,4,1,-4,1,4,1,-4,1,4,1,-4,1,4,1,4,1,-4,1,-4,1,-4,1,-4,1,-4,3,1,-4,3,1,-4,3,1,1,1,1,1,1,1,-4,1,1,-4,1,-4,7,-3,-3
2296,0,1,6,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,3,1,-5,-5,-5,-5,3,-4,0,-4,1,-4,0,-4,1,0,-4,-5,-5,-5,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,8,9
2297,1,1,5,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,1,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,5,4,4
2298,0,2,9,1984,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,5,5
2299,0,2,9,1984,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,4,4
2300,0,1,9,1980,1,1,1,1,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1
2301,0,1,9,1983,1,1,1,1,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-4,-5,-5,-5,-5,-5,1,3,3
2302,0,1,4,1982,1,3,1,1,-4,1,1,3,-4,0,-4,1,3,0,-4,1,3,0,-4,1,3,0,-4,1,3,1,10,0,-4,4,-4,0,-4,4,-4,0,-4,3,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,6,6
2303,1,1,7,1983,1,3,1,1,-4,-4,1,3,-4,0,1,1,3,0,-4,1,3,0,-4,1,3,0,-4,1,3,3,10,0,-4,3,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,7
2304,0,2,4,1980,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,5,0,-4,2,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,7,8
2305,1,1,4,1982,1,1,1,4,-4,-4,1,1,-4,0,2,1,1,0,1,1,1,0,-4,1,5,0,-4,1,5,1,10,1,-4,1,-4,-4,2,1,-4,1,-4,1,0,-4,1,0,-4,-5,-5,-5,1,0,-4,1,1,-4,1,1,-4,1,-4,5,5,5
2306,1,1,11,1980,1,1,1,4,-4,-4,2,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-1,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,-1,-4,1,0,-4,-5,-5,-5,-5,-5,-5,1,-4,1,0,1
2307,0,2,8,1984,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,1,2,2
2308,0,1,1,1983,1,5,1,4,-4,-4,1,5,-4,0,-4,1,1,0,-4,1,5,-5,-5,-5,-5,0,-4,1,10,1,10,0,-4,4,-4,0,1,4,-4,0,-4,4,0,-4,4,0,-4,4,0,-4,1,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,0,0,2
2309,0,1,12,1984,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,-1,-4,1,0,-4,1,0,-4,1,0,-4,4,-4,6,8,8
2310,1,1,11,1980,1,1,1,4,-4,2,1,1,-4,0,-4,1,10,1,1,1,10,1,-4,1,10,0,1,1,10,1,10,0,1,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,1,1,0,1,1,0,-4,1,0,-4,1,-4,6,18,18
2311,0,2,10,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,1,1,1,0,-4,1,5,1,5,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,2,3,5
2312,0,1,2,1981,1,1,1,4,-4,-4,1,1,-4,1,-4,1,1,0,-4,1,1,0,-4,1,1,1,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,7,3,6
2313,1,1,7,1982,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,7,-3,-3
2314,1,1,7,1984,1,1,1,4,-4,-4,1,1,-4,1,-4,1,1,1,-4,1,1,1,-4,1,1,0,-4,1,1,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,1,1,0,-4,1,1,8,3,3
2315,1,1,1,1982,1,3,1,4,-4,-4,1,8,-4,0,-4,1,8,0,-4,1,10,1,-4,1,10,0,2,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,6,6
2316,0,1,10,1982,1,1,1,1,-4,-4,1,1,-4,0,-4,1,1,0,1,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,11,11
2317,1,2,3,1984,1,1,1,1,-4,1,1,1,-4,0,-4,1,1,0,-4,3,10,0,-4,1,1,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,3,-4,9,7,7
2318,0,2,10,1980,1,4,1,4,-4,-4,1,4,-4,0,-4,1,10,0,-4,1,4,0,-4,1,4,0,-4,1,4,1,4,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,5,5
2319,1,1,10,1982,1,4,1,4,-4,-4,1,4,-4,0,-4,1,4,0,-4,1,10,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,1,-4,1,1,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,5,3,3
2320,1,2,1,1980,1,5,1,4,-4,-4,1,4,-4,0,-4,1,10,0,1,1,10,0,-4,1,10,0,-4,1,10,1,10,0,-4,1,-4,1,1,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,7,7
2321,1,2,9,1982,1,1,1,4,-4,-4,1,1,-4,0,1,1,4,0,1,1,4,0,-4,1,4,0,-4,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,1,5,7,7
2322,0,2,7,1984,1,1,1,4,-4,-4,1,1,-4,0,-4,1,4,0,-4,1,4,0,1,1,4,0,1,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,1,1,1
2323,1,2,12,1980,1,4,1,4,-4,-4,1,9,-4,1,-4,1,10,0,-4,1,10,0,-4,1,10,0,1,1,10,1,10,0,-4,1,-4,0,-4,1,-4,0,2,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,6,8,8
2324,1,2,9,1982,1,4,1,4,-4,1,1,4,-4,0,-4,1,4,0,-4,1,4,0,-4,1,4,0,-4,1,10,1,10,0,1,1,-4,0,1,1,-4,0,-4,1,0,1,1,0,-4,1,0,1,1,0,-1,1,0,-4,1,0,-4,1,-4,2,1,1
2325,1,1,11,1983,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,1,1,0,-4,1,1,0,-4,1,1,1,1,0,-4,1,-4,0,-4,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,4,5,6
2326,1,1,7,1981,1,1,1,4,-4,-4,1,1,-4,0,-4,1,1,0,-4,2,1,0,-4,2,1,0,-4,2,1,2,1,0,1,2,-4,0,-4,2,-4,0,1,2,0,-4,2,0,-4,2,0,-4,2,0,-4,2,0,-4,2,0,-4,2,-4,3,3,4
2327,1,1,3,1982,1,4,1,4,-4,2,1,4,-4,1,-4,1,4,1,-4,1,4,1,-4,1,4,0,-4,1,4,-5,-5,-5,-5,1,-4,0,2,1,-4,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,0,-4,1,-4,3,5,5
