"R0000100","R0357900","R0536300","R0536401","R0536402","R1200300","R1205300","R1235800","R1482600","R2189100","R2200500","R2558800","R2563600","R3508200","R3511100","R3520100","R3880300","R3885200","R4909200","R4918000","R5459400","R5464400","R6536400","R6545000","R7222400","R7228100","S0924000","S0932900","S1535500","S1542000","S2005400","S2011800","S2990300","S2995900","S3805700","S4682600","S4685500","S4691000","S5405600","S6318100","S6321000","S6326800","S7506100","S8334600","S8339100","T0009400","T0741400","T0745900","T2012100","T2784900","T2789700","T3602100","T4496600","T4501300","T5202300","T6145500","T6150200","T6652100","T7640000","T7644700","T8123700","T9044600","Z9050500","Z9050600","Z9050700"
3340,0,1,12,1984,3,2,1,4,-4,-4,3,2,-4,0,-4,3,2,0,-4,3,4,0,-4,3,2,0,1,3,2,3,2,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,2,8,8
3341,0,1,5,1984,3,1,1,2,-4,-4,3,3,-4,0,-4,3,3,0,-4,3,4,0,-4,3,2,0,-4,3,2,3,4,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,5,1,3
3342,1,2,7,1980,3,2,1,4,-4,-4,3,2,-4,0,-4,2,10,-1,-4,2,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,1
3343,0,1,4,1982,3,3,1,4,-4,-4,3,3,-4,0,-4,3,5,0,-4,3,5,0,-4,3,4,0,-4,3,4,-3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,8,10,10
3344,1,1,5,1983,3,2,1,4,-5,-5,-5,-5,-4,-4,-4,3,4,0,-4,3,4,0,-4,3,10,0,-4,3,10,2,10,0,-4,-5,-5,-5,-5,2,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,0,-4,-5,-5,-5,-5,-5,8,5,5
3345,0,2,3,1980,3,1,1,2,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,10,0,-4,3,10,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,3,9,10
3346,0,2,12,1981,3,1,1,2,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,7,2,-3
3347,0,1,10,1983,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,1,-5,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,0,0,0
3348,0,2,1,1981,3,4,1,4,-4,-4,3,4,-4,0,-4,3,4,0,-4,3,10,0,-4,3,10,0,-4,3,10,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,2,0,1
3349,0,2,6,1982,3,4,1,4,-4,-4,3,4,-4,0,-4,3,4,0,-4,3,4,0,-4,3,4,0,-4,3,4,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,1,2,2
3350,1,1,7,1981,3,10,1,4,-5,-5,-5,-5,-4,-4,-4,3,10,0,-4,3,10,0,-4,3,10,-5,-5,-5,-5,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,4,-4,1,0,0
3351,1,1,8,1982,3,3,1,4,-5,-5,-5,-5,-4,-4,1,3,3,1,2,3,10,1,1,3,10,-5,-5,-5,-5,3,10,1,3,3,-4,1,1,3,-4,1,-4,3,-4,2,3,0,-4,3,1,-4,3,1,-4,3,-4,1,3,1,-4,3,3,3,-3,-3
3352,1,1,12,1982,3,10,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,3,3,-4,-4,3,3,3,10,0,-4,-5,-5,-5,-5,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,-5,3,-4,3,6,6
3353,0,2,11,1982,3,1,1,2,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,6,5,5
3354,1,1,4,1980,3,1,1,4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,0,-4,3,0,-4,-5,-5,-5,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,-4,2,4,4
3355,1,2,1,1982,3,1,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,-4,2,0,-4,2,0,-4,2,-4,-3,4,5
3356,1,1,11,1982,3,4,1,4,-4,-4,3,5,-4,1,-4,3,4,1,1,3,4,1,2,3,4,1,-4,3,4,3,3,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,2,0,-4,2,0,-4,2,1,10,9,11
3357,0,2,1,1984,3,1,1,4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
3358,1,2,2,1981,3,1,1,4,-4,1,3,1,-4,0,-4,3,1,0,-4,3,10,0,-4,3,10,0,-4,3,10,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,5,4,4
3359,1,1,5,1982,3,1,1,4,-4,-4,3,4,-4,1,-4,3,4,1,-4,3,10,1,-4,3,5,0,-4,3,3,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,13,4,4
3360,1,2,6,1983,3,4,1,2,-5,-5,-5,-5,-4,-4,-4,3,5,0,-4,3,5,-5,-5,-5,-5,0,-4,3,5,3,10,-1,-4,-5,-5,-5,-5,-5,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,7,5,6
3361,1,2,3,1982,3,1,1,4,-4,1,3,1,-4,0,1,3,4,0,-4,3,4,0,-4,3,4,0,-4,3,10,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,1,-4,3,0,-4,3,0,-4,3,0,2,3,0,2,3,1,8,-3,-3
3362,1,1,6,1984,3,2,1,2,-4,-4,3,2,-4,0,-4,3,4,1,-4,3,2,1,-4,3,4,-5,-5,-5,-5,3,4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,6,5,5
